Mise à jour de 45 événements (calendrier + ticket_link)...

  [OK] OPEN INTERNE                                            (id=19514)
  [OK] CONCOURS INTERNE OPEN                                   (id=19516)
  [OK] OPEN CONTEST - CF Uzurat                                (id=19518)
  [OK] OPEN PARTY by CrossFit Aubière                          (id=19520)
  [OK] HYROX CHALLENGE #3                                      (id=19522)
  [OK] AGNETZ HYBRID RACE                                      (id=19524)
  [OK] HYROX Race LE PUY                                       (id=19562)
  [OK] CrossFit Bailleul Battle                                (id=19526)
  [OK] Magic Hyrox Challenge                                   (id=19564)
  [OK] Gora Contest                                            (id=19528)
  [OK] 2L2N Training Camp - 1 EDITION 2026                     (id=19566)
  [OK] Pertuis Contest - Spring édition 🪓                      (id=19530)
  [OK] Tiger Contest 8                                         (id=19532)
  [OK] Cormeilles Fitness Battle                               (id=19568)
  [OK] Hyrox de Tivizio 3.0                                    (id=19534)
  [OK] DAHU BATTLE SPRING EDITION                              (id=19536)
  [OK] FIGHTER CONTEST VOL.7                                   (id=19538)
  [OK] 24 HEURES DE BIKEERG                                    (id=19570)
  [OK] Chistera Family Contest 3ème édition                    (id=19540)
  [OK] CGH Fit Games                                           (id=19572)
  [OK] Athletic Challenge #3                                   (id=19542)
  [OK] HYROX By Night                                          (id=19574)
  [OK] Parrot Battle IV                                        (id=19544)
  [OK] Amplem Factory #5 Spring edition                        (id=19576)
  [OK] HYROX RACE by Calade CrossFit 2ème EDITION              (id=19546)
  [OK] ERGO CHALLENGE                                          (id=19578)
  [OK] RACE SIMULATION HYROX VILLEFONTAINE #1                  (id=19580)
  [OK] LH HYROX CONTEST                                        (id=19582)
  [OK] HYROX Simulation Châteauroux by PR                      (id=19584)
  [OK] Tricassium row contest #2                               (id=19586)
  [OK] Hybrid Comp                                             (id=19548)
  [OK] Orlinz battle #3                                        (id=19588)
  [OK] Séminaire chez Camille Joun !                           (id=19550)
  [OK] YUEI TEAM SERIES                                        (id=19590)
  [OK] HandStand Throwdown Spring Edition                      (id=19552)
  [OK] GAMES OF THE NORTH 2026 Finale                          (id=19592)
  [OK] HYROX EVENT 2026                                        (id=19554)
  [OK] Thunder Battle 5                                        (id=19594)
  [OK] 2GEN WEIGHTLIFTING EXPERIENCE                           (id=19556)
  [OK] WoD By Night 2                                          (id=19596)
  [OK] Sanzaru Hyrox Race                                      (id=19558)
  [OK] Wood Shack Contest #2                                   (id=19598)
  [OK] TARVOS CONTEST 2026                                     (id=19560)
  [OK] WODATOLOSA XXL 2026                                     (id=19600)
  [OK] HYROX RACE DAY                                          (id=19602)

============================================================
Résumé :
  updated     : 45
